,name,distance,mass,radius
112,TVLM 513-46546,35.1,0.07159410000000001,1.2032979327801579e-05
113,2MASS 1503+2525,20.7,0.042001872,1.0772381493460457e-05
114,CFBDS J150411+102717,71.0,0.042001872,1.0772381493460457e-05
115,2MASSW J1506544+132106 [de],46.0,0.065866572,1.168917991843582e-05
116,2MASS 1507−1627,23.9,0.057275280000000005,1.1345380509070057e-05
117,TVLM 868-110639,53.0,0.075412452,1.2376778737167337e-05
118,2MASSW J1515008+484742 [de],34.0,0.054411516,1.1345380509070057e-05
119,2MASSI J1526140+204341 [de],67.0,0.051547752,1.1230780705948137e-05
120,DENIS-P J153941.96-052042.4 [de],51.0,0.060139044,1.1459980312191978e-05
121,2MASS J15462718-3325111 [de],37.0,0.042001872,1.0772381493460457e-05
122,2MASSW J1552591+294849 [de],68.0,0.028637640000000002,1.638777184643453e-05
123,2MASSW J1555157-095605 [de],44.0,0.067775748,1.1803779721557736e-05
124,2MASS J16150413+1340079 [de],48.0,0.040092696000000004,1.0772381493460457e-05
125,SDSSp J162414.37+002915.6 [de],36.0,0.041047284,1.0772381493460457e-05
126,2MASS J16262034+3925190 [de],110.0,0.067775748,1.1803779721557736e-05
127,2MASSW J1632291+190441 [de],50.0,0.046774812,1.1116180902826219e-05
128,WISEPA J164715.59+563208.2,28.0,0.039138108,1.0772381493460457e-05
129,LSPM J1658+7027 [de],60.0,0.069684924,1.1918379524679658e-05
130,2MASSI J1726000+153819,114.0,0.022910112,1.6043972437068768e-05
131,SDSSp J175032.96+175903.9,90.0,0.044865636,1.1116180902826219e-05
132,2MASS J18283572-4849046,39.0,0.04295646,1.0886981296582378e-05
133,LSR J1835+3259,18.5,0.073503276,1.2262178934045417e-05
134,2MASSW J1841086+311727,138.0,0.063957396,1.1574580115313898e-05
135,2MASS J18432213+4040209,46.0,0.091640448,1.3981175980874215e-05
136,2MASS J20004841-7523070,105.0,0.0238647,2.1544762986920913e-05
137,SDSS J204749.61-071818.3,65.0,0.043911048,1.1001581099704299e-05
138,2MASSI J2057540-025230,47.0,0.06682116,1.168917991843582e-05
139,2MASSI J2104149-103736,62.0,0.065866572,1.168917991843582e-05
140,PSO J318.5−22,80.0,0.0062048220000000005,1.7533769877653727e-05
141,HB 2124-4228,113.0,0.089731272,1.3866576177752291e-05
142,2MASS J21392676+0220226,32.1,0.043911048,1.1001581099704299e-05
143,2MASS J21481628+4003593,26.3,0.05250234,1.1345380509070057e-05
144,2MASSW J2206450-421721,93.0,0.021000936,1.5241773815215328e-05
145,2MASSW J2208136+292121,154.0,0.025773876,1.6158572240190688e-05
146,2MASSW J2224438-015852,38.0,0.058229868000000004,1.1345380509070057e-05
